MAKE,MODEL,MYR,OL,OW,OH ,WB,CW ,A,B,C,D,E,F,G,TWF,TWR ,WDIST,YEAR,CATEGORY
ACURA,CSX 4DR SEDAN FWD /TECH PACKAGE,6,454,175,144,270,1300,94,45,36,76,110,92,93,150,151,61/39,2011,sedan
ACURA,RL 4DR SEDAN AWD /ELITE,9,497,185,146,280,1864,125,73,37,80,116,104,111,157,157,58/42,2011,sedan
ACURA,TL 4 DR SEDAN FWD/TECHNOLOGY,9,497,188,145,278,1682,134,62,34,81,117,105,115,160,161,61/39,2011,sedan
ACURA,TL 4 DR SEDAN SH-AWD/SH-AWD TECHNOLOGY,9,497,188,145,278,1801,134,62,34,81,117,105,115,160,161,59/41,2011,sedan
ACURA,TSX 4DR SEDAN FWD TECH PACKAGE/PREMIUM,9,473,184,144,271,1545,121,44,35,79,115,97,104,158,158,60/40,2011,sedan
ACURA,TSX 4DR SEDAN FWD V6,9,473,184,144,271,1672,121,44,35,79,115,97,104,158,158,60/40,2011,sedan
ASTON MARTIN,DB9 2DR COUPE RWD,4,470,188,127,274,1760,N/A,N/A,N/A,N/A,N/A,N/A,N/A,157,156,50/50,2011,sedan
ASTON MARTIN,DB9 VOLANTE 2DR CONV RWD,5,470,188,127,274,1856,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50/50,2011,sedan
ASTON MARTIN,DBS 2DR COUPE RWD,8,472,191,128,274,1695,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2011,sedan
ASTON MARTIN,DBS VOLANTE 2DR CONV RWD,8,472,191,128,274,1810,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2011,sedan
ASTON MARTIN,RAPIDE 4DR SEDAN RWD,11,502,193,136,299,1950,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2011,sedan
ASTON MARTIN,VANTAGE 2DR COUPE RWD V8/V8 S/V12,6,438,187,126,260,1630,N/A,N/A,N/A,N/A,N/A,N/A,N/A,157,159,N/A,2011,sedan
ASTON MARTIN,VANTAGE ROADSTER 2DR CONV RWD V8/V8 S,7,438,187,126,260,1710,N/A,N/A,N/A,N/A,N/A,N/A,N/A,157,159,N/A,2011,sedan
