MAKE,MODEL,MYR,OL,OW,OH ,WB,CW ,A,B,C,D,E,F,G,TWF,TWR ,WDIST,YEAR,CATEGORY
ACURA,MDX 4DR SUV AWD /TECH/ELITE,10,485,199,173,275,2064,117,183,42,85,126,100,110,172,172,56/44,2011,suv
ACURA,RDX 4DR SUV AWD /TECH PACKAGE,10,462,187,166,265,1790,125,152,38,84,124,98,99,158,159,57/43,2011,suv
ACURA,ZDX 4DR SUV AWD / TECH ELITE,10,488,199,160,275,2064,133,109,33,88,120,109,104,172,171,58/42,2011,suv
AUDI,Q5 5DR SUV AWD 3.2/3.2 PREMIUM,9,463,190,166,281,1895,126,156,40,86,116,91,93,160,160,53/47,2011,suv
AUDI,Q7 4DR SUV AWD 3.0,7,509,198,174,300,2355,124,186,39,88,106,97,112,163,165,50/50,2011,suv
AUDI,Q7 4DR SUV AWD 3.0 DIESEL PREMIUM,7,509,198,174,300,2525,124,186,39,88,106,97,112,163,165,50/50,2011,suv
AUDI,Q7 4DR SUV AWD 3.0 SPORT,7,509,198,174,300,2455,124,186,39,88,106,97,112,163,165,50/50,2011,suv
BMW,X3 xDrive28i 4 DR SUV,11,465,188,168,281,1865,138,158,44,85,114,85,97,162,163,50/50,2011,suv
BMW,X3 xDrive35i 4 DR SUV,11,465,188,168,281,1915,138,158,44,85,114,85,97,162,163,50/50,2011,suv
BMW,X5 xDrive35d 4DR SUV AWD,7,485,193,177,293,2355,127,174,45,88,111,87,106,164,165,48/52,2011,suv
BMW,X5 xDrive35i 4DR SUV AWD,7,485,193,177,293,2250,127,174,45,88,111,87,106,164,165,48/52,2011,suv
BMW,X5 xDrive50i 4DR SUV AWD,7,485,193,177,293,2440,127,174,45,88,111,87,106,164,165,48/52,2011,suv
BMW,X5M 4DR SUV AWD,8,485,199,177,293,2435,127,174,45,88,111,87,106,164,165,48/52,2011,suv
BMW,X6 ActiveHybrid 4DR SUV,8,489,198,170,293,N/A,128,137,40,91,115,86,110,165,164,50/50,2011,suv
BMW,X6 xDRIVE 35i 4DR SUV,8,489,198,170,293,2220,128,137,40,91,115,86,110,165,164,50/50,2011,suv
BMW,X6 xDRIVE 50i 4DR SUV,8,489,198,170,293,2390,128,137,40,91,115,86,110,165,164,50/50,2011,suv
BMW,X6M 4DR SUV AWD,8,489,198,170,293,2435,128,137,40,91,115,86,110,165,164,50/50,2011,suv
BUICK,ENCLAVE 4DR SUV AWD CX/CXL,7,513,201,185,302,2261,108,205,41,88,105,100,112,171,170,55/45,2011,suv
BUICK,ENCLAVE 4DR SUV FWD CX/CXL,7,513,201,185,302,2168,108,205,41,88,105,100,112,171,170,55/45,2011,suv
CADILLAC,ESCALADE 4DR SUV AWD,8,514,200,189,295,2581,132,199,46,94,135,99,120,174,171,50/50,2011,suv
CADILLAC,ESCALADE ESV 4DR SUV AWD,7,566,201,189,330,2695,132,251,46,94,135,99,137,174,171,52/48,2011,suv
CADILLAC,ESCALADE HYBRID 4DR SUV 4WD,8,514,201,189,295,2729,132,199,46,94,135,99,120,174,171,54/46,2011,suv
CADILLAC,SRX 4DR CUV AWD,9,483,191,167,282,1981,119,164,39,90,118,104,99,163,161,57/43,2011,suv
CADILLAC,SRX 4DR CUV FWD,9,483,191,167,282,1907,119,164,39,90,118,104,99,163,161,59/41,2011,suv
