MAKE,MODEL,MYR,OL,OW,OH ,WB,CW ,A,B,C,D,E,F,G,TWF,TWR ,WDIST,YEAR,CATEGORY
CADILLAC,ESCALADE EXT P/U EXT CAB S/BOX AWD,7,554,201,189,330,2717,132,280,46,85,134,99,125,174,172,52/48,2011,truck
CHEVROLET,AVALANCHE 1500 P/U CREWCAB S/BOX 2WD,7,554,201,186,331,2466,131,280,46,97,115,99,125,174,172,52/48,2011,truck
CHEVROLET,AVALANCHE 1500 P/U CREWCAB S/BOX 4WD,7,554,201,189,331,2576,131,280,46,97,115,99,125,174,172,52/48,2011,truck
CHEVROLET,COLORADO CREW CAB S/BOX 2WD,4,526,174,162,320,1702,128,268,42,79,103,86,120,152,153,57/43,2011,truck
CHEVROLET,COLORADO CREW CAB S/BOX 4X4,4,526,174,173,320,1815,128,268,42,79,103,86,120,152,153,57/43,2011,truck
CHEVROLET,COLORADO EXT CAB S/BOX 2WD,4,526,172,161,320,1636,126,268,41,75,104,86,120,148,148,57/43,2011,truck
CHEVROLET,COLORADO EXT CAB S/BOX 4X4,4,526,172,172,320,1725,126,268,41,75,104,86,120,148,148,57/43,2011,truck
CHEVROLET,COLORADO REG CAB S/BOX 2WD,4,488,172,165,282,1569,128,230,42,79,110,86,120,150,150,57/43,2011,truck
CHEVROLET,COLORADO REG CAB S/BOX 4X4,4,488,172,172,282,1685,128,230,42,79,110,86,120,150,150,57/43,2011,truck
CHEVROLET,SILVERADO 1500 CREW CAB S/BOX 2WD,7,570,203,188,365,2338,131,293,46,86,133,100,105,174,171,58/42,2011,truck
CHEVROLET,SILVERADO 1500 CREW CAB S/BOX 4X4,7,570,203,188,365,2397,131,293,46,86,133,100,105,174,171,58/42,2011,truck
CHEVROLET,SILVERADO 1500 EXT CAB L/BOX 2WD,7,618,203,188,400,2378,131,340,46,86,133,100,117,174,171,59/41,2011,truck
CHEVROLET,SILVERADO 1500 EXT CAB L/BOX 4X4,7,618,203,188,400,2496,131,340,46,86,133,100,117,174,171,60/40,2011,truck
CHEVROLET,SILVERADO 1500 EXT CAB M/BOX 2WD,7,570,203,188,365,2299,131,293,46,86,133,100,105,174,171,58/42,2011,truck
CHEVROLET,SILVERADO 1500 EXT CAB M/BOX 4X4,7,570,203,188,365,2408,131,293,46,86,133,100,105,174,171,59/41,2011,truck
CHEVROLET,SILVERADO 1500 HYBRID CREW CAB S/BOX 2WD,7,570,203,188,365,2559,131,293,46,86,133,100,105,174,171,59/41,2011,truck
CHEVROLET,SILVERADO 1500 HYBRID CREW CAB S/BOX 4X4,7,570,203,188,365,2668,131,293,46,86,133,100,105,174,171,59/41,2011,truck
CHEVROLET,SILVERADO 1500 REG CAB L/BOX 2WD,7,556,203,188,338,2155,132,278,46,86,133,100,117,174,171,58/42,2011,truck
CHEVROLET,SILVERADO 1500 REG CAB L/BOX 4X4,7,556,203,188,338,2155,132,278,46,86,133,100,117,174,171,59/41,2011,truck
CHEVROLET,SILVERADO 1500 REG CAB M/BOX 2WD,7,508,203,188,302,2068,132,230,46,86,133,100,105,174,171,58/42,2011,truck
CHEVROLET,SILVERADO 1500 REG CAB M/BOX 4X4,7,508,203,188,302,2176,132,230,46,86,133,100,105,174,171,59/41,2011,truck
CHEVROLET,SILVERADO 2500HD CREW CAB L/BOX 2WD,7,644,203,198,426,2816,132,366,46,86,133,100,117,174,171,N/A,2011,truck
CHEVROLET,SILVERADO 2500HD CREW CAB L/BOX 4X4,7,644,203,198,426,2959,132,366,46,86,133,100,117,174,171,N/A,2011,truck
CHEVROLET,SILVERADO 2500HD CREW CAB M/BOX 2WD,7,596,203,198,391,2773,132,319,46,86,133,100,105,174,171,N/A,2011,truck
CHEVROLET,SILVERADO 2500HD CREW CAB M/BOX 4X4,7,596,203,198,391,2892,132,319,46,86,133,100,105,174,171,N/A,2011,truck
CHEVROLET,SILVERADO 2500HD EXT CAB L/BOX 2WD,7,618,203,198,400,2765,131,340,46,86,133,100,117,174,171,N/A,2011,truck
CHEVROLET,SILVERADO 2500HD EXT CAB L/BOX 4X4,7,618,203,198,400,2890,131,340,46,86,133,100,117,174,171,N/A,2011,truck
CHEVROLET,SILVERADO 2500HD EXT CAB M/BOX 2WD,7,570,203,198,365,2719,131,293,46,86,133,100,105,174,171,N/A,2011,truck
CHEVROLET,SILVERADO 2500HD EXT CAB M/BOX 4X4,7,570,203,198,365,2847,131,293,46,86,133,100,105,174,171,N/A,2011,truck
CHEVROLET,SILVERADO 2500HD REG CAB L/BOX 2WD,7,556,203,198,338,2634,132,278,46,86,133,100,117,174,171,N/A,2011,truck
CHEVROLET,SILVERADO 2500HD REG CAB L/BOX 4X4,7,556,203,198,338,2685,132,278,46,86,133,100,117,174,171,N/A,2011,truck
CHEVROLET,SILVERADO 3500 CREW CAB L/BOX 2WD DRW,7,644,244,198,426,3074,132,366,46,86,133,100,117,174,N/A,N/A,2011,truck
CHEVROLET,SILVERADO 3500 CREW CAB L/BOX 2WD SRW,7,644,203,198,426,2909,132,366,46,86,133,100,117,174,171,N/A,2011,truck
CHEVROLET,SILVERADO 3500 CREW CAB L/BOX 4X4 DRW,7,644,244,198,426,3218,132,366,46,86,133,100,117,174,N/A,N/A,2011,truck
CHEVROLET,SILVERADO 3500 CREW CAB L/BOX 4X4 SRW,7,644,203,198,426,3054,132,366,46,86,133,100,117,174,171,N/A,2011,truck
CHEVROLET,SILVERADO 3500 CREW CAB M/BOX 2X4 SRW,7,596,203,198,391,2866,132,319,46,86,133,100,105,174,171,N/A,2011,truck
CHEVROLET,SILVERADO 3500 CREW CAB M/BOX 4X4 SRW,7,596,203,198,391,2987,132,319,46,86,133,100,105,174,171,N/A,2011,truck
CHEVROLET,SILVERADO 3500 EXT CAB L/BOX 2WD DRW,7,618,244,198,400,3025,131,340,46,86,133,100,117,174,N/A,N/A,2011,truck
CHEVROLET,SILVERADO 3500 EXT CAB L/BOX 2WD SRW,7,618,203,198,400,2859,131,340,46,86,133,100,117,174,171,N/A,2011,truck
CHEVROLET,SILVERADO 3500 EXT CAB L/BOX 4X4 DRW,7,618,244,198,400,3147,131,340,46,86,133,100,117,174,N/A,N/A,2011,truck
CHEVROLET,SILVERADO 3500 EXT CAB L/BOX 4X4 SRW,7,618,203,198,400,2985,131,340,46,86,133,100,117,174,171,N/A,2011,truck
CHEVROLET,SILVERADO 3500 REG CAB L/BOX 2WD DRW,7,556,244,198,338,2797,132,278,46,86,133,100,117,174,N/A,N/A,2011,truck
CHEVROLET,SILVERADO 3500 REG CAB L/BOX 2WD SRW,7,556,203,198,338,2634,132,278,46,86,133,100,117,174,171,N/A,2011,truck
CHEVROLET,SILVERADO 3500 REG CAB L/BOX 4X4 DRW,7,556,244,198,338,2945,132,278,46,86,133,100,117,174,N/A,N/A,2011,truck
CHEVROLET,SILVERADO 3500 REG CAB L/BOX 4X4 SRW,7,556,203,198,338,2782,132,278,46,86,133,100,117,174,171,N/A,2011,truck
FORD,F-150 P/U REG CAB 6.5-FT BOX 2WD,9,533,200,190,320,2159,132,245,44,96,136,98,116,170,170,N/A,2011,truck
FORD,F-150 P/U REG CAB 6.5-FT BOX 4X4,9,533,200,193,320,2263,132,245,44,96,136,98,116,170,170,N/A,2011,truck
FORD,F-150 P/U REG CAB 8-FT BOX 2WD,9,581,200,194,368,2205,132,292,44,96,136,98,116,170,170,N/A,2011,truck
FORD,F-150 P/U REG CAB 8-FT BOX 4X4,9,581,200,193,368,2317,132,292,44,96,136,98,116,170,170,N/A,2011,truck
FORD,F-150 P/U SUPER CAB 6.5-FT BOX 2WD,9,581,200,182,368,2350,132,292,44,96,136,98,116,170,170,N/A,2011,truck
FORD,F-150 P/U SUPER CAB 6.5-FT BOX 4X4,9,581,200,193,368,2454,132,292,44,96,136,98,116,170,170,N/A,2011,truck
FORD,F-150 P/U SUPER CAB 8-FT BOX 2WD,9,628,200,193,414,2517,132,339,44,96,136,98,116,170,170,N/A,2011,truck
FORD,F-150 P/U SUPER CAB 8-FT BOX 4X4,9,628,200,195,414,2658,132,339,44,96,136,98,116,170,170,N/A,2011,truck
FORD,F-150 P/U SUPER CREW 5.5-FT BOX 2WD,9,581,200,189,368,2349,132,292,44,96,136,98,116,170,170,N/A,2011,truck
FORD,F-150 P/U SUPER CREW 5.5-FT BOX 4X4,9,581,200,194,368,2522,132,292,44,96,136,98,116,170,170,N/A,2011,truck
FORD,F-150 P/U SUPER CREW 6.5-FT BOX 2WD,9,611,200,189,398,2408,132,323,44,96,136,98,116,170,170,N/A,2011,truck
FORD,F-150 P/U SUPER CREW 6.5-FT BOX 4X4,9,611,200,194,398,2586,132,323,44,96,136,98,116,170,170,N/A,2011,truck
FORD,F-150 SVT RAPTOR SUPER CAB 5.5-FT BOX,10,553,219,199,339,2724,139,265,46,95,136,98,116,188,187,N/A,2011,truck
FORD,F-150 SVT RAPTOR SUPER CREW 5.5-FT BOX,10,581,219,199,368,2812,139,292,46,95,136,98,116,188,187,N/A,2011,truck
FORD,F-250 SD P/U CREW CAB L/BOX,11,657,203,196,439,2962,145,371,50,89,142,97,121,174,171,N/A,2011,truck
FORD,F-250 SD P/U CREW CAB L/BOX 4X4,11,657,203,203,439,3148,145,371,50,89,142,97,121,174,171,N/A,2011,truck
FORD,F-250 SD P/U CREW CAB S/BOX,11,617,203,197,399,2912,145,331,50,89,142,97,121,174,171,N/A,2011,truck
FORD,F-250 SD P/U CREW CAB S/BOX 4X4,11,617,203,202,399,3099,145,331,50,89,142,97,121,174,171,N/A,2011,truck
FORD,F-250 SD P/U REG CAB L/BOX,11,568,203,195,350,2656,145,282,50,89,142,97,121,174,171,N/A,2011,truck
FORD,F-250 SD P/U REG CAB L/BOX 4X4,11,568,203,201,350,2888,145,282,50,89,142,97,121,174,171,N/A,2011,truck
FORD,F-250 SD P/U SUPER CAB L/BOX,11,621,203,195,403,2851,145,335,50,89,142,97,121,174,171,N/A,2011,truck
FORD,F-250 SD P/U SUPER CAB L/BOX 4x4,11,621,203,201,403,3053,145,335,50,89,142,97,121,174,171,N/A,2011,truck
FORD,F-250 SD P/U SUPER CAB S/BOX,11,581,203,196,363,2810,145,295,50,89,142,97,121,174,171,N/A,2011,truck
FORD,F-250 SD P/U SUPER CAB S/BOX 4X4,11,581,203,202,363,2851,145,295,50,89,142,97,121,174,171,N/A,2011,truck
FORD,F-350 SD P/U CREW CAB L/BOX,11,657,203,196,439,2980,145,371,50,89,142,97,121,174,171,N/A,2011,truck
FORD,F-350 SD P/U CREW CAB L/BOX 4X4,11,657,203,205,439,3166,145,371,50,89,142,97,121,174,171,N/A,2011,truck
FORD,F-350 SD P/U CREW CAB L/BOX DRW,11,657,244,196,439,3130,145,371,50,89,142,97,121,174,190,N/A,2011,truck
FORD,F-350 SD P/U CREW CAB L/BOX DRW 4X4,11,657,244,203,439,3325,145,371,50,89,142,97,121,174,190,N/A,2011,truck
FORD,F-350 SD P/U CREW CAB S/BOX,11,617,203,196,399,2921,145,331,50,89,142,97,121,174,171,N/A,2011,truck
FORD,F-350 SD P/U CREW CAB S/BOX 4X4,11,617,203,205,399,3121,145,331,50,89,142,97,121,174,171,N/A,2011,truck
FORD,F-350 SD P/U REG CAB L/BOX,11,568,203,194,350,2676,145,282,50,89,142,97,121,174,171,N/A,2011,truck
FORD,F-350 SD P/U REG CAB L/BOX 4X4,11,568,203,203,350,2917,145,282,50,89,142,97,121,174,171,N/A,2011,truck
FORD,F-350 SD P/U REG CAB L/BOX DRW,11,568,244,195,350,2826,145,282,50,89,142,97,121,174,190,N/A,2011,truck
FORD,F-350 SD P/U REG CAB L/BOX DRW 4X4,11,568,244,202,350,3048,145,282,50,89,142,97,121,174,190,N/A,2011,truck
FORD,F-350 SD P/U SUPER CAB L/BOX,11,621,203,195,403,2862,145,335,50,89,142,97,121,174,171,N/A,2011,truck
FORD,F-350 SD P/U SUPER CAB L/BOX 4X4,11,621,203,204,403,3071,145,335,50,89,142,97,121,174,171,N/A,2011,truck
FORD,F-350 SD P/U SUPER CAB L/BOX DRW,11,621,244,195,403,3021,145,335,50,89,142,97,121,174,190,N/A,2011,truck
FORD,F-350 SD P/U SUPER CAB L/BOX DRW 4X4,11,621,244,202,403,3225,145,335,50,89,142,97,121,174,190,N/A,2011,truck
FORD,F-350 SD P/U SUPER CAB S/BOX,11,581,203,195,363,2826,145,295,50,89,142,97,121,174,171,N/A,2011,truck
FORD,F-350 SD P/U SUPER CAB S/BOX 4X4,11,581,203,204,363,3025,145,295,50,89,142,97,121,174,171,N/A,2011,truck
FORD,F-450 SD P/U CREW CAB L/BOX DRW 4X4,11,657,244,202,439,3674,145,371,50,89,142,97,121,174,190,N/A,2011,truck
FORD,FLEX 5DR CUV AWD SEL/LIMITED/TITANIUM,8,513,193,172,300,2105,130,220,42,96,126,97,114,167,167,54/46,2011,truck
FORD,RANGER REG CAB STYLESIDE S/BOX,3,476,176,162,284,1392,129,204,43,74,122,85,108,149,146,60/40,2011,truck
FORD,RANGER SUPER CAB STYLESIDE S/BOX SPORT/XLT 4X,99,512,176,172,319,1633,129,204,43,74,122,85,108,149,146,60/40,2011,truck
FORD,RANGER SUPER CAB STYLESIDE S/BOX XL/SPORT 4X2,99,512,176,165,319,1467,129,204,43,74,122,85,108,149,146,60/40,2011,truck
GMC,CANYON CREW CAB S/BOX 2WD /SLE,4,526,174,166,320,1702,128,268,42,79,103,86,120,152,153,57/43,2011,truck
GMC,CANYON CREW CAB S/BOX 4X4 /SLE,4,526,174,173,320,1815,128,268,42,79,103,86,120,152,153,57/43,2011,truck
GMC,CANYON EXT CAB S/BOX 2WD /SLE,4,526,172,165,320,1636,126,268,41,75,104,86,120,148,148,57/43,2011,truck
GMC,CANYON EXT CAB S/BOX 4X4 /SLE,4,526,172,172,320,1725,126,268,41,75,104,86,120,148,148,57/43,2011,truck
GMC,CANYON REG CAB S/BOX 2WD /SLE,4,487,172,165,282,1523,126,232,42,78,110,86,119,149,150,57/43,2011,truck
GMC,CANYON REG CAB S/BOX 4X4 /SLE,4,487,172,172,282,1643,126,232,42,78,110,86,119,149,150,57/43,2011,truck
GMC,SIERRA 1500 CREW CAB S/BOX 2WD,7,570,203,188,365,2338,131,293,46,86,133,101,103,174,171,58/42,2011,truck
GMC,SIERRA 1500 CREW CAB S/BOX 4X4 /DENALI,7,570,203,188,365,2397,131,293,46,86,133,101,103,174,171,58/42,2011,truck
GMC,SIERRA 1500 EXT CAB L/BOX 2WD,7,618,203,188,400,2378,131,340,46,86,133,100,117,174,171,59/41,2011,truck
GMC,SIERRA 1500 EXT CAB L/BOX 4X4,7,618,203,188,400,2496,131,340,46,86,133,100,117,174,171,60/40,2011,truck
GMC,SIERRA 1500 EXT CAB M/BOX 2WD,7,570,203,188,365,2299,131,293,46,86,133,100,105,174,171,58/42,2011,truck
GMC,SIERRA 1500 EXT CAB M/BOX 4X4,7,570,203,188,365,2408,131,293,46,86,133,100,105,174,171,59/41,2011,truck
GMC,SIERRA 1500 HYBRID CREW CAB S/BOX 2WD,7,570,203,188,365,2559,131,293,46,86,133,101,103,174,171,59/41,2011,truck
GMC,SIERRA 1500 HYBRID CREW CAB S/BOX 4X4,7,570,203,188,365,2668,131,293,46,86,133,101,103,174,171,59/41,2011,truck
GMC,SIERRA 1500 REG CAB L/BOX 2WD,7,556,203,188,338,2155,132,278,46,86,133,101,117,174,171,58/42,2011,truck
GMC,SIERRA 1500 REG CAB L/BOX 4X4,7,556,203,188,338,2155,132,278,46,86,133,101,117,174,171,59/41,2011,truck
GMC,SIERRA 1500 REG CAB M/BOX 2WD,7,508,203,188,302,2068,132,230,46,86,133,100,105,174,171,58/42,2011,truck
GMC,SIERRA 1500 REG CAB M/BOX 4X4,7,508,203,188,302,2176,132,230,46,86,133,100,105,174,171,59/41,2011,truck
GMC,SIERRA 2500HD CREW CAB L/BOX 2WD,7,644,203,198,426,2816,132,366,46,86,133,100,117,174,171,N/A,2011,truck
GMC,SIERRA 2500HD CREW CAB L/BOX 4X4,7,644,203,198,426,2959,132,366,46,86,133,100,117,174,171,N/A,2011,truck
GMC,SIERRA 2500HD CREW CAB M/BOX 2WD,7,596,203,198,391,2773,132,319,46,86,133,100,105,174,171,N/A,2011,truck
GMC,SIERRA 2500HD CREW CAB M/BOX 4X4,7,596,203,198,391,2892,132,319,46,86,133,100,105,174,171,N/A,2011,truck
GMC,SIERRA 2500HD CREW CAB M/BOX DENALI,7,596,203,198,391,2976,132,319,46,86,133,100,105,174,171,N/A,2011,truck
GMC,SIERRA 2500HD EXT CAB L/BOX 2WD,7,618,203,198,400,2765,131,340,46,86,133,100,117,174,171,N/A,2011,truck
GMC,SIERRA 2500HD EXT CAB L/BOX 4X4,7,618,203,198,400,2890,131,340,46,86,133,100,117,174,171,N/A,2011,truck
GMC,SIERRA 2500HD EXT CAB M/BOX 2WD,7,570,203,198,365,2719,131,293,46,86,133,100,105,174,171,N/A,2011,truck
GMC,SIERRA 2500HD EXT CAB M/BOX 4X4,7,570,203,198,365,2847,131,293,46,86,133,100,105,174,171,N/A,2011,truck
GMC,SIERRA 2500HD REG CAB L/BOX 2WD,7,556,203,198,338,2634,132,278,46,86,133,100,117,174,171,N/A,2011,truck
GMC,SIERRA 2500HD REG CAB L/BOX 4X4,7,556,203,198,338,2685,132,278,46,86,133,100,117,174,171,N/A,2011,truck
GMC,SIERRA 3500 CREW CAB L/BOX 2WD DRW,7,644,244,198,426,3074,132,366,46,86,133,100,117,174,N/A,N/A,2011,truck
GMC,SIERRA 3500 CREW CAB L/BOX 2WD SRW,7,644,203,198,426,2909,132,366,46,86,133,100,117,174,171,N/A,2011,truck
GMC,SIERRA 3500 CREW CAB L/BOX 4X4 DRW,7,644,244,198,426,3218,132,366,46,86,133,100,117,174,N/A,N/A,2011,truck
GMC,SIERRA 3500 CREW CAB L/BOX 4X4 DRW DENALI,7,644,244,198,426,3296,132,366,46,86,133,100,117,174,N/A,N/A,2011,truck
GMC,SIERRA 3500 CREW CAB L/BOX 4X4 SRW,7,644,203,198,426,3054,132,366,46,86,133,100,117,174,171,N/A,2011,truck
GMC,SIERRA 3500 CREW CAB M/BOX 2X4 SRW,7,596,203,198,391,2866,132,319,46,86,133,100,105,174,171,N/A,2011,truck
GMC,SIERRA 3500 CREW CAB M/BOX 4X4 SRW,7,596,203,198,391,2987,132,319,46,86,133,100,105,174,171,N/A,2011,truck
GMC,SIERRA 3500 CREW CAB M/BOX 4X4 SRW DENALI,7,596,203,198,391,3071,132,319,46,86,133,100,105,174,171,N/A,2011,truck
GMC,SIERRA 3500 EXT CAB L/BOX 2WD DRW,7,618,244,198,400,3025,131,340,46,86,133,100,117,174,N/A,N/A,2011,truck
GMC,SIERRA 3500 EXT CAB L/BOX 2WD SRW,7,618,203,198,400,2859,131,340,46,86,133,100,117,174,171,N/A,2011,truck
GMC,SIERRA 3500 EXT CAB L/BOX 4X4 DRW,7,618,244,198,400,3147,131,340,46,86,133,100,117,174,N/A,N/A,2011,truck
GMC,SIERRA 3500 EXT CAB L/BOX 4X4 SRW,7,618,203,198,400,2985,131,340,46,86,133,100,117,174,171,N/A,2011,truck
GMC,SIERRA 3500 REG CAB L/BOX 2WD DRW,7,556,244,198,338,2797,132,278,46,86,133,100,117,174,N/A,N/A,2011,truck
GMC,SIERRA 3500 REG CAB L/BOX 2WD SRW,7,556,203,198,338,2634,132,278,46,86,133,100,117,174,171,N/A,2011,truck
GMC,SIERRA 3500 REG CAB L/BOX 4X4 DRW,7,556,244,198,338,2945,132,278,46,86,133,100,117,174,N/A,N/A,2011,truck
GMC,SIERRA 3500 REG CAB L/BOX 4X4 SRW,7,556,203,198,338,2782,132,278,46,86,133,100,117,174,171,N/A,2011,truck
HONDA,RIDGELINE 4DR PICKUP AWD,5,525,195,179,310,2043,112,278,40,83,120,96,120,170,170,58/42,2011,truck
NISSAN,FRONTIER CREW CAB 4X2 SV,5,523,185,178,319,1970,121,269,41,81,109,80,124,157,157,57/43,2011,truck
NISSAN,FRONTIER CREW CAB 4X4 SV/SL/PRO-4X,5,523,185,178,319,2068,121,269,41,81,109,80,124,157,157,57/43,2011,truck
NISSAN,FRONTIER KING CAB 4X4 SV/PRO-4X,5,522,185,177,320,1962,118,268,44,81,115,79,123,157,157,57/43,2011,truck
NISSAN,FRONTIER KING CAB S/BOX 4X2 S,5,522,158,174,320,1691,118,268,44,81,115,79,123,157,157,57/43,2011,truck
NISSAN,FRONTIER KING CAB S/BOX 4X2 SV,5,522,185,177,320,1873,118,268,44,81,115,79,123,157,157,57/43,2011,truck
NISSAN,TITAN CREW CAB L/BOX 4X4 SV,4,615,200,195,405,2487,118,345,42,94,130,92,116,172,172,55/45,2011,truck
NISSAN,TITAN CREW CAB S/BOX 4X4 S,4,565,200,195,355,2418,118,295,42,94,130,92,116,172,172,55/45,2011,truck
NISSAN,TITAN CREW CAB S/BOX 4X4 SL/PRO-4X,4,565,200,195,355,2521,118,295,42,94,130,92,116,172,172,55/45,2011,truck
NISSAN,TITAN CREW CAB S/BOX 4X4 SV,4,565,200,195,355,2487,118,295,42,94,130,92,116,172,172,55/45,2011,truck
NISSAN,TITAN KING CAB S/BOX 2WD S,4,563,200,191,355,2214,118,295,48,88,130,91,116,172,172,55/45,2011,truck
NISSAN,TITAN KING CAB S/BOX 2WD SV,4,563,200,191,355,2284,118,295,48,88,130,91,116,172,172,55/45,2011,truck
NISSAN,TITAN KING CAB S/BOX 4X4 SL/PRO-4X,4,563,200,195,355,2430,118,295,48,88,130,91,116,172,172,55/45,2011,truck
NISSAN,TITAN KING CAB S/BOX 4X4 SV,4,563,200,191,355,2392,118,295,48,88,130,91,116,172,172,55/45,2011,truck
RAM TRUCKS,DAKOTA P/U CLUB CAB 2WD ST/SLT/SXT,5,556,182,174,333,1942,128,291,39,86,117,99,124,160,160,58/42,2011,truck
RAM TRUCKS,DAKOTA P/U CLUB CAB 4WD ST/SLT/SXT,5,556,182,174,333,2021,128,291,39,86,117,99,124,160,160,59/41,2011,truck
RAM TRUCKS,DAKOTA P/U QUAD CAB 2WD ST/SLT/SXT,5,556,182,175,334,1984,130,292,40,85,116,99,125,160,160,56/44,2011,truck
RAM TRUCKS,DAKOTA P/U QUAD CAB 4WD ST/SLT/SXT,5,555,182,175,331,2071,130,292,40,85,116,99,125,160,160,58/42,2011,truck
RAM TRUCKS,RAM 1500 CREW CAB 5.7-FT BOX 2WD,9,574,201,188,356,2295,137,307,45,97,137,102,116,176,173,57/43,2011,truck
RAM TRUCKS,RAM 1500 CREW CAB 5.7-FT BOX 4X4,9,574,201,190,356,2404,137,307,45,97,137,102,116,176,173,57/43,2011,truck
RAM TRUCKS,RAM 1500 QUAD CAB 6.4-FT BOX 2WD,9,574,201,188,356,2202,137,307,46,96,137,102,116,175,173,57/43,2011,truck
RAM TRUCKS,RAM 1500 QUAD CAB 6.4-FT BOX 4X4,9,574,201,190,356,2385,137,307,46,96,137,102,116,175,173,57/43,2011,truck
RAM TRUCKS,RAM 1500 REG CAB 6.4-FT BOX 2WD,9,523,201,186,305,2049,137,234,45,97,137,102,116,176,173,57/43,2011,truck
RAM TRUCKS,RAM 1500 REG CAB 6.4-FT BOX 4X4,9,523,201,186,305,2257,137,234,45,97,137,102,116,176,173,57/43,2011,truck
RAM TRUCKS,RAM 1500 REG CAB 8-FT BOX 2WD,9,579,201,186,356,2117,137,290,45,97,137,102,121,176,173,57/43,2011,truck
RAM TRUCKS,RAM 1500 REG CAB 8-FT BOX 4X4,9,579,201,188,356,2303,137,290,45,97,137,102,121,176,173,57/43,2011,truck
RAM TRUCKS,RAM 2500 CREW CAB L/BOX 2WD,10,652,202,N/A,431,2491,135,387,50,97,134,100,121,175,174,N/A,2011,truck
RAM TRUCKS,RAM 2500 CREW CAB L/BOX 4WD,10,652,202,N/A,431,2878,135,387,50,97,134,100,121,175,174,N/A,2011,truck
RAM TRUCKS,RAM 2500 CREW CAB S/BOX 2WD,10,595,202,N/A,379,2617,135,330,50,97,134,100,116,175,174,N/A,2011,truck
RAM TRUCKS,RAM 2500 CREW CAB S/BOX 4WD,10,595,202,N/A,379,2830,135,330,50,97,134,100,116,175,174,N/A,2011,truck
RAM TRUCKS,RAM 2500 MEGA CAB S/BOX 2WD,10,624,202,N/A,408,2825,135,359,50,97,134,100,116,175,174,N/A,2011,truck
RAM TRUCKS,RAM 2500 MEGA CAB S/BOX 4WD,10,624,202,N/A,408,3031,135,359,50,97,134,100,116,175,174,N/A,2011,truck
RAM TRUCKS,RAM 2500 REG CAB L/BOX 2WD,10,577,202,N/A,356,2491,135,290,50,97,134,100,121,175,174,N/A,2011,truck
RAM TRUCKS,RAM 2500 REG CAB L/BOX 4WD,10,577,202,N/A,356,2683,135,290,50,97,134,100,121,175,174,N/A,2011,truck
RAM TRUCKS,RAM 3500 CREW CAB L/BOX 2WD DRW,10,652,244,N/A,431,3274,135,387,50,97,134,100,121,175,N/A,N/A,2011,truck
RAM TRUCKS,RAM 3500 CREW CAB L/BOX 4WD DRW,10,652,244,N/A,431,3377,135,387,50,97,134,100,121,175,N/A,N/A,2011,truck
RAM TRUCKS,RAM 3500 CREW CAB S/BOX 2WD,10,595,202,N/A,379,3058,135,330,50,97,134,100,116,175,174,N/A,2011,truck
RAM TRUCKS,RAM 3500 CREW CAB S/BOX 4WD,10,595,202,N/A,379,3162,135,330,50,97,134,100,116,175,174,N/A,2011,truck
RAM TRUCKS,RAM 3500 MEGA CAB S/BOX 2WD DRW,10,624,244,N/A,408,3342,135,359,50,97,134,100,116,175,N/A,N/A,2011,truck
RAM TRUCKS,RAM 3500 MEGA CAB S/BOX 4WD DRW,10,624,244,N/A,408,2297,135,359,50,97,134,100,116,175,N/A,N/A,2011,truck
RAM TRUCKS,RAM 3500 REG CAB L/BOX 2WD DRW,10,577,244,N/A,356,3060,135,290,50,97,134,100,121,175,N/A,N/A,2011,truck
RAM TRUCKS,RAM 3500 REG CAB L/BOX 4WD DRW,10,577,244,N/A,356,3114,135,290,50,97,134,100,121,175,N/A,N/A,2011,truck
TOYOTA,TACOMA DOUBLE P/U EXT CAB L/BOX 4WD (AUTO),5,562,190,178,357,1900,126,313,41,78,108,85,119,160,161,58/42,2011,truck
TOYOTA,TACOMA DOUBLE P/U EXT CAB S/BOX 4WD (MANUAL),5,530,190,178,326,1837,128,281,42,79,102,85,119,160,161,58/42,2011,truck
TOYOTA,TACOMA P/U ACCESS CAB L/BOX 4WD,5,529,190,178,325,1794,126,281,41,78,108,85,119,160,161,58/42,2011,truck
TOYOTA,TACOMA P/U ACCESS CAB L/BOX 4WD V-6,5,529,190,178,325,1834,126,281,41,78,108,85,119,160,161,58/42,2011,truck
TOYOTA,TACOMA P/U ACCESS CAB L/BOX RWD,5,529,184,167,325,1614,126,281,41,78,108,85,119,155,155,58/42,2011,truck
TOYOTA,TUNDRA CREW MAX S/BOX 2WD 5.7 V8 /LTD,7,574,203,193,370,2375,116,318,45,90,132,90,114,171,172,58/42,2011,truck
TOYOTA,TUNDRA CREW MAX S/BOX 4WD 5.7 V8,7,574,203,194,370,2479,116,318,45,90,132,90,114,171,172,58/42,2011,truck
