MAKE,MODEL,MYR,OL,OW,OH ,WB,CW ,A,B,C,D,E,F,G,TWF,TWR ,WDIST,YEAR,CATEGORY
CHEVROLET,1500 EXPRESS CARGO VAN SWB,3,569,202,207,343,2198,91,291,54,99,146,101,124,173,172,53/47,2011,van
CHEVROLET,1500 EXPRESS CARGO VAN SWB AWD,3,569,202,207,343,2367,91,291,54,99,146,101,124,173,172,53/47,2011,van
CHEVROLET,1500 EXPRESS PASSENGER VAN SWB,3,569,202,207,343,2358,91,291,54,99,146,101,124,173,172,53/47,2011,van
CHEVROLET,1500 EXPRESS PASSENGER VAN SWB AWD,3,569,202,207,343,2367,91,291,54,99,146,101,124,173,172,53/47,2011,van
CHEVROLET,2500 EXPRESS CARGO VAN LWB,3,620,202,208,394,2755,91,342,54,99,146,101,124,173,172,53/47,2011,van
CHEVROLET,2500 EXPRESS CARGO VAN SWB,3,569,202,207,343,2276,91,291,54,99,146,101,124,173,172,53/47,2011,van
CHEVROLET,2500 EXPRESS PASSENGER VAN LWB,3,620,202,208,394,2755,91,342,54,99,146,101,124,173,172,53/47,2011,van
CHEVROLET,2500 EXPRESS PASSENGER VAN SWB,3,569,202,207,343,2537,91,291,54,99,146,101,124,173,172,53/47,2011,van
CHEVROLET,3500 EXPRESS CARGO VAN LWB,3,620,202,208,394,2552,91,342,54,99,146,101,124,173,172,53/47,2011,van
CHEVROLET,3500 EXPRESS CARGO VAN SWB,3,569,202,207,343,2462,91,291,54,99,146,101,124,173,172,53/47,2011,van
CHEVROLET,3500 EXPRESS PASSENGER VAN LWB,3,620,202,208,394,2873,91,342,54,99,146,101,124,173,172,53/47,2011,van
CHEVROLET,3500 EXPRESS PASSENGER VAN SWB,3,569,202,207,343,2728,91,291,54,99,146,101,124,173,172,53/47,2011,van
CHRYSLER,TOWN & COUNTRY 4DR MINIVAN TOURING/TOURING-L/,8,514,200,172,308,2046,102,219,47,88,140,95,111,167,165,56/44,2011,van
DODGE,GRAND CARAVAN 4DR VAN CARGO VAN/EXPRESS/MAINS,8,514,200,172,308,2046,102,219,47,89,135,96,111,167,165,56/44,2011,van
DODGE,GRAND CARAVAN 4DR VAN FWD CANADA VALUE PKG/SE,8,514,200,172,308,1960,102,219,47,89,135,96,111,167,165,56/44,2011,van
FORD,E-150 ECONOLINE VAN,8,550,202,209,351,2107,99,276,56,96,165,87,112,178,170,58/42,2011,van
FORD,E-250 ECONOLINE VAN,8,550,202,216,351,2268,99,276,55,95,166,87,112,178,169,56/44,2011,van
FORD,E-250 ECONOLINE VAN EXTENDED,8,600,202,216,351,2328,99,326,55,95,166,87,162,178,169,53/47,2011,van
FORD,E-350 SD ECONOLINE VAN,8,550,202,212,351,2419,99,276,55,95,166,87,112,178,169,N/A,2011,van
FORD,E-350 SD ECONOLINE VAN EXTENDED,8,600,202,212,351,2484,99,326,55,95,166,87,162,178,169,N/A,2011,van
GMC,1500 SAVANA CARGO VAN SWB,3,569,202,207,343,2198,91,291,54,99,146,101,124,173,172,53/47,2011,van
GMC,1500 SAVANA CARGO VAN SWB AWD,3,569,202,207,343,2367,91,291,54,99,146,101,124,173,172,53/47,2011,van
GMC,1500 SAVANA PASSENGER VAN SWB,3,569,202,207,343,2358,91,291,54,99,146,101,124,173,172,53/47,2011,van
GMC,1500 SAVANA PASSENGER VAN SWB AWD,3,569,202,207,343,2367,91,291,54,99,146,101,124,173,172,53/47,2011,van
GMC,2500 SAVANA CARGO VAN LWB,3,620,202,208,394,2755,91,342,54,99,146,101,124,173,172,53/47,2011,van
GMC,2500 SAVANA CARGO VAN SWB,3,569,202,207,343,2276,91,291,54,99,146,101,124,173,172,53/47,2011,van
GMC,2500 SAVANA PASSENGER VAN LWB,3,620,202,208,394,2755,91,342,54,99,146,101,124,173,172,53/47,2011,van
GMC,2500 SAVANA PASSENGER VAN SWB,3,569,202,207,343,2537,91,291,54,99,146,101,124,173,172,53/47,2011,van
GMC,3500 SAVANA CARGO VAN LWB,3,620,202,208,394,2552,91,342,54,99,146,101,124,173,172,53/47,2011,van
GMC,3500 SAVANA CARGO VAN SWB,3,569,202,207,343,2462,91,291,54,99,146,101,124,173,172,53/47,2011,van
GMC,3500 SAVANA PASSENGER VAN LWB,3,620,202,208,394,2873,91,342,54,99,146,101,124,173,172,53/47,2011,van
GMC,3500 SAVANA PASSENGER VAN SWB,3,569,202,207,343,2728,91,291,54,99,146,101,124,173,172,53/47,2011,van
HONDA,ODYSSEY 4DR MINIVAN EX,11,515,201,174,300,2001,99,212,43,90,132,94,120,172,173,56/44,2011,van
HONDA,ODYSSEY 4DR MINIVAN EX-L/TOURING/TOURING ELIT,11,515,201,174,300,2041,99,212,43,90,132,94,120,172,173,56/44,2011,van
HONDA,ODYSSEY 4DR MINIVAN LX,11,515,201,174,300,1967,99,212,43,90,132,94,120,172,173,56/44,2011,van
KIA,SEDONA 5DR VAN FWD LX,6,513,199,176,302,2087,101,215,48,88,114,98,114,169,169,57/43,2011,van
KIA,SEDONA 5DR VAN FWD LX-CONVENIENCE/EX,6,513,199,183,302,2087,101,215,48,88,114,98,114,169,169,57/43,2011,van
MERCEDES-BENZ,SPRINTER 2500 CARGO VAN 144-IN WB HIGH ROOF,8,591,199,273,367,2410,79,341,60,118,164,100,124,172,174,N/A,2011,van
MERCEDES-BENZ,SPRINTER 2500 CARGO VAN 144-IN WB STANDARD ROOF,8,591,199,245,367,2380,79,341,60,118,164,100,124,172,174,N/A,2011,van
MERCEDES-BENZ,SPRINTER 2500 CARGO VAN 170-IN WB EXTRALONG HIGH ROOF,8,735,199,273,433,2650,79,485,60,118,164,100,201,172,174,N/A,2011,van
MERCEDES-BENZ,SPRINTER 2500 CARGO VAN 170-IN WB EXTRALONG SUPER HIGH ROOF,8,735,199,297,433,2685,79,485,60,118,164,100,201,172,174,N/A,2011,van
MERCEDES-BENZ,SPRINTER 2500 CARGO VAN 170-IN WB HIGH ROOF,8,694,199,273,433,2590,79,444,60,118,164,100,162,172,174,N/A,2011,van
MERCEDES-BENZ,SPRINTER 2500 CARGO VAN 170-IN WB SUPER HIGH ROOF,8,694,199,297,433,2625,79,444,60,118,164,100,162,172,174,N/A,2011,van
MERCEDES-BENZ,SPRINTER 2500 PASSENGER VAN 144-IN WB STANDARD ROOF,8,591,199,245,367,2685,79,341,60,118,164,100,124,172,174,N/A,2011,van
MERCEDES-BENZ,SPRINTER 2500 PASSENGER VAN 170-IN WB HIGH ROOF,8,694,199,273,433,2900,79,444,60,118,164,100,162,172,174,N/A,2011,van
MERCEDES-BENZ,SPRINTER 3500 CARGO VAN 144-IN WB HIGH ROOF,8,591,202,282,367,2640,79,341,60,118,164,100,124,172,174,N/A,2011,van
MERCEDES-BENZ,SPRINTER 3500 CARGO VAN 170-IN WB EXTRALONG HIGH ROOF,8,735,202,282,433,2880,79,485,60,118,164,100,201,172,174,N/A,2011,van
MERCEDES-BENZ,SPRINTER 3500 CARGO VAN 170-IN WB EXTRALONG SUPER HIGH ROOF,8,735,202,305,433,2920,79,485,60,118,164,100,201,172,174,N/A,2011,van
MERCEDES-BENZ,SPRINTER 3500 CARGO VAN 170-IN WB HIGH ROOF,8,694,202,282,433,2830,79,444,60,118,164,100,162,172,174,N/A,2011,van
MERCEDES-BENZ,SPRINTER 3500 CARGO VAN 170-IN WB SUPER HIGH ROOF,8,694,202,305,433,2870,79,444,60,118,164,100,162,172,174,N/A,2011,van
NISSAN,QUEST 4 DR MINIVAN S/SV,11,510,197,186,300,1987,99,217,44,96,137,94,116,173,173,55/45,2011,van
NISSAN,QUEST 4 DR MINIVAN SL/LE,11,510,197,186,300,2032,99,217,44,96,137,94,116,173,173,55/45,2011,van
TOYOTA,SIENNA BASE/LE FWD V6,10,508,198,180,303,1990,102,223,45,89,126,95,110,172,171,57/43,2011,van
TOYOTA,SIENNA LE AWD,10,508,198,181,303,2070,102,223,45,89,126,95,110,172,171,56/44,2011,van
TOYOTA,SIENNA LE FWD 4CYL,10,508,198,175,303,1900,102,223,45,89,126,95,110,172,171,56/44,2011,van
TOYOTA,SIENNA LIMITED AWD,10,508,198,181,303,2145,102,223,45,89,126,95,110,172,171,56/44,2011,van
TOYOTA,SIENNA SE/XLE FWD V6,10,508,198,180,303,2045,102,223,45,89,126,95,110,172,171,57/43,2011,van
VOLKSWAGEN,ROUTAN FWD MINIVAN TRENDLINE/COMFORTLINE/HIGH,9,514,195,175,308,2039,107,219,46,90,139,97,111,165,165,55/45,2011,van
CHEVROLET,1500 EXPRESS CARGO VAN SWB,03,569,202,207,343,2198,91,291,54,99,146,101,124,173,172,53/47,2012,van
CHEVROLET,1500 EXPRESS CARGO VAN SWB AWD,03,569,202,207,343,2367,91,291,54,99,146,101,124,173,172,53/47,2012,van
